发生时点,对手,事由,金额大写
八月十四日,同事婚礼,观影,陆拾捌元
八月十五日,海底捞西湖店,随礼,壹佰零贰元
八月十六日傍晚,盒马鲜生,正餐,壹佰贰拾捌元伍角
八月十七日,瑞幸咖啡,买菜,贰佰捌拾陆元
八月十八日,杭州地铁,咖啡,伍佰圆整
八月十九日上午,滴滴出行,地铁,肆元
八月二十日,永辉超市,打车,拾捌元
八月二十一日,万达影城,观影,贰拾捌元伍角
八月二十二日午间,同事婚礼,随礼,叁拾伍元
八月二十三日,海底捞西湖店,正餐,陆拾捌元
八月二十四日,盒马鲜生,买菜,壹佰零贰元
八月二十五日晚间,瑞幸咖啡,咖啡,壹佰贰拾捌元伍角
八月二十六日,杭州地铁,地铁,贰佰捌拾陆元
八月二十七日,滴滴出行,打车,伍佰圆整
八月二十八日傍晚,永辉超市,观影,肆元
八月二十九日,万达影城,随礼,拾捌元
八月三十日,同事婚礼,正餐,贰拾捌元伍角
