过账时点,往来简称,方向码,票面,渠道附注,科室
11 Aug 2026 19:40,永辉超市,Dr,12.34元（优惠后）,Alipay,餐饮
12 Aug 2026 20:47,万达影城,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 07:54,海底捞西湖店,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 08:01,盒马鲜生,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 09:08,瑞幸咖啡,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 10:15,杭州地铁,Dr,286.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 11:22,滴滴出行,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 12:29,永辉超市,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 13:36,万达影城,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 14:43,海底捞西湖店,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 15:50,基本工资,Cr,12000.00元（优惠后）,Bank Card,餐饮
22 Aug 2026 16:57,瑞幸咖啡,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 17:04,杭州地铁,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 18:11,滴滴出行,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 19:18,永辉超市,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 20:25,万达影城,Dr,286.00元（优惠后）,Alipay,餐饮
27 Aug 2026 07:32,海底捞西湖店,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 08:39,盒马鲜生,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 09:46,瑞幸咖啡,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 10:53,杭州地铁,Dr,5.00元（优惠后）,Bank Card,人事
1 Aug 2026 11:00,滴滴出行,Dr,12.34元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 12:07,永辉超市,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 13:14,万达影城,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 14:21,海底捞西湖店,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 15:28,盒马鲜生,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 16:35,瑞幸咖啡,Dr,286.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 17:42,杭州地铁,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 18:49,滴滴出行,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 19:56,永辉超市,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 20:03,万达影城,Dr,5.00元（优惠后）,WeChat Pay,人事
11 Aug 2026 07:10,海底捞西湖店,Dr,12.34元（优惠后）,Alipay,餐饮
12 Aug 2026 08:17,盒马鲜生,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 09:24,瑞幸咖啡,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 10:31,杭州地铁,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 11:38,滴滴出行,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 12:45,基本工资,Cr,12000.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 13:52,万达影城,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 14:59,海底捞西湖店,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 15:06,盒马鲜生,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 16:13,瑞幸咖啡,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 17:20,杭州地铁,Dr,12.34元（优惠后）,Bank Card,餐饮
22 Aug 2026 18:27,滴滴出行,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 19:34,永辉超市,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 20:41,万达影城,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 07:48,海底捞西湖店,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 08:55,盒马鲜生,Dr,286.00元（优惠后）,Alipay,餐饮
27 Aug 2026 09:02,瑞幸咖啡,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 10:09,杭州地铁,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 11:16,滴滴出行,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 12:23,永辉超市,Dr,5.00元（优惠后）,Bank Card,人事
1 Aug 2026 13:30,万达影城,Dr,12.34元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 14:37,海底捞西湖店,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 15:44,盒马鲜生,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 16:51,瑞幸咖啡,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 17:58,杭州地铁,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 18:05,滴滴出行,Dr,286.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 19:12,永辉超市,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 20:19,万达影城,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 07:26,海底捞西湖店,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 08:33,盒马鲜生,Dr,5.00元（优惠后）,WeChat Pay,人事
11 Aug 2026 09:40,基本工资,Cr,12000.00元（优惠后）,Alipay,餐饮
12 Aug 2026 10:47,杭州地铁,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 11:54,滴滴出行,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 12:01,永辉超市,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 13:08,万达影城,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 14:15,海底捞西湖店,Dr,286.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 15:22,盒马鲜生,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 16:29,瑞幸咖啡,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 17:36,杭州地铁,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 18:43,滴滴出行,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 19:50,永辉超市,Dr,12.34元（优惠后）,Bank Card,餐饮
22 Aug 2026 20:57,万达影城,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 07:04,海底捞西湖店,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 08:11,盒马鲜生,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 09:18,瑞幸咖啡,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 10:25,杭州地铁,Dr,286.00元（优惠后）,Alipay,餐饮
27 Aug 2026 11:32,滴滴出行,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 12:39,永辉超市,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 13:46,万达影城,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 14:53,海底捞西湖店,Dr,5.00元（优惠后）,Bank Card,人事
1 Aug 2026 15:00,盒马鲜生,Dr,12.34元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 16:07,瑞幸咖啡,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 17:14,杭州地铁,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 18:21,滴滴出行,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 19:28,永辉超市,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 20:35,基本工资,Cr,12000.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 07:42,海底捞西湖店,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 08:49,盒马鲜生,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 09:56,瑞幸咖啡,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 10:03,杭州地铁,Dr,5.00元（优惠后）,WeChat Pay,人事
11 Aug 2026 11:10,滴滴出行,Dr,12.34元（优惠后）,Alipay,餐饮
12 Aug 2026 12:17,永辉超市,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 13:24,万达影城,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 14:31,海底捞西湖店,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 15:38,盒马鲜生,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 16:45,瑞幸咖啡,Dr,286.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 17:52,杭州地铁,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 18:59,滴滴出行,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 19:06,永辉超市,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 20:13,万达影城,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 07:20,海底捞西湖店,Dr,12.34元（优惠后）,Bank Card,餐饮
22 Aug 2026 08:27,盒马鲜生,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 09:34,瑞幸咖啡,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 10:41,杭州地铁,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 11:48,滴滴出行,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 12:55,永辉超市,Dr,286.00元（优惠后）,Alipay,餐饮
27 Aug 2026 13:02,万达影城,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 14:09,海底捞西湖店,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 15:16,盒马鲜生,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 16:23,瑞幸咖啡,Dr,5.00元（优惠后）,Bank Card,人事
1 Aug 2026 17:30,基本工资,Cr,12000.00元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 18:37,滴滴出行,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 19:44,永辉超市,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 20:51,万达影城,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 07:58,海底捞西湖店,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 08:05,盒马鲜生,Dr,286.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 09:12,瑞幸咖啡,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 10:19,杭州地铁,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 11:26,滴滴出行,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 12:33,永辉超市,Dr,5.00元（优惠后）,WeChat Pay,人事
11 Aug 2026 13:40,万达影城,Dr,12.34元（优惠后）,Alipay,餐饮
12 Aug 2026 14:47,海底捞西湖店,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 15:54,盒马鲜生,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 16:01,瑞幸咖啡,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 17:08,杭州地铁,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 18:15,滴滴出行,Dr,286.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 19:22,永辉超市,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 20:29,万达影城,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 07:36,海底捞西湖店,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 08:43,盒马鲜生,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 09:50,瑞幸咖啡,Dr,12.34元（优惠后）,Bank Card,餐饮
22 Aug 2026 10:57,杭州地铁,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 11:04,滴滴出行,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 12:11,永辉超市,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 13:18,万达影城,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 14:25,基本工资,Cr,12000.00元（优惠后）,Alipay,餐饮
27 Aug 2026 15:32,盒马鲜生,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 16:39,瑞幸咖啡,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 17:46,杭州地铁,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 18:53,滴滴出行,Dr,5.00元（优惠后）,Bank Card,人事
1 Aug 2026 19:00,永辉超市,Dr,12.34元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 20:07,万达影城,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 07:14,海底捞西湖店,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 08:21,盒马鲜生,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 09:28,瑞幸咖啡,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 10:35,杭州地铁,Dr,286.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 11:42,滴滴出行,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 12:49,永辉超市,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 13:56,万达影城,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 14:03,海底捞西湖店,Dr,5.00元（优惠后）,WeChat Pay,人事
11 Aug 2026 15:10,盒马鲜生,Dr,12.34元（优惠后）,Alipay,餐饮
12 Aug 2026 16:17,瑞幸咖啡,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 17:24,杭州地铁,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 18:31,滴滴出行,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 19:38,永辉超市,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 20:45,万达影城,Dr,286.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 07:52,海底捞西湖店,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 08:59,盒马鲜生,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 09:06,瑞幸咖啡,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 10:13,杭州地铁,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 11:20,基本工资,Cr,12000.00元（优惠后）,Bank Card,餐饮
22 Aug 2026 12:27,永辉超市,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 13:34,万达影城,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 14:41,海底捞西湖店,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 15:48,盒马鲜生,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 16:55,瑞幸咖啡,Dr,286.00元（优惠后）,Alipay,餐饮
27 Aug 2026 17:02,杭州地铁,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 18:09,滴滴出行,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 19:16,永辉超市,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 20:23,万达影城,Dr,5.00元（优惠后）,Bank Card,人事
1 Aug 2026 07:30,海底捞西湖店,Dr,12.34元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 08:37,盒马鲜生,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 09:44,瑞幸咖啡,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 10:51,杭州地铁,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 11:58,滴滴出行,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 12:05,永辉超市,Dr,286.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 13:12,万达影城,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 14:19,海底捞西湖店,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 15:26,盒马鲜生,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 16:33,瑞幸咖啡,Dr,5.00元（优惠后）,WeChat Pay,人事
11 Aug 2026 17:40,杭州地铁,Dr,12.34元（优惠后）,Alipay,餐饮
12 Aug 2026 18:47,滴滴出行,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 19:54,永辉超市,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 20:01,万达影城,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 07:08,海底捞西湖店,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 08:15,基本工资,Cr,12000.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 09:22,瑞幸咖啡,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 10:29,杭州地铁,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 11:36,滴滴出行,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 12:43,永辉超市,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 13:50,万达影城,Dr,12.34元（优惠后）,Bank Card,餐饮
22 Aug 2026 14:57,海底捞西湖店,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 15:04,盒马鲜生,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 16:11,瑞幸咖啡,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 17:18,杭州地铁,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 18:25,滴滴出行,Dr,286.00元（优惠后）,Alipay,餐饮
27 Aug 2026 19:32,永辉超市,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 20:39,万达影城,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 07:46,海底捞西湖店,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 08:53,盒马鲜生,Dr,5.00元（优惠后）,Bank Card,人事
1 Aug 2026 09:00,瑞幸咖啡,Dr,12.34元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 10:07,杭州地铁,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 11:14,滴滴出行,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 12:21,永辉超市,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 13:28,万达影城,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 14:35,海底捞西湖店,Dr,286.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 15:42,盒马鲜生,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 16:49,瑞幸咖啡,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 17:56,杭州地铁,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 18:03,滴滴出行,Dr,5.00元（优惠后）,WeChat Pay,人事
11 Aug 2026 19:10,基本工资,Cr,12000.00元（优惠后）,Alipay,餐饮
12 Aug 2026 20:17,万达影城,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 07:24,海底捞西湖店,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 08:31,盒马鲜生,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 09:38,瑞幸咖啡,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 10:45,杭州地铁,Dr,286.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 11:52,滴滴出行,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 12:59,永辉超市,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 13:06,万达影城,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 14:13,海底捞西湖店,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 15:20,盒马鲜生,Dr,12.34元（优惠后）,Bank Card,餐饮
22 Aug 2026 16:27,瑞幸咖啡,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 17:34,杭州地铁,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 18:41,滴滴出行,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 19:48,永辉超市,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 20:55,万达影城,Dr,286.00元（优惠后）,Alipay,餐饮
27 Aug 2026 07:02,海底捞西湖店,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 08:09,盒马鲜生,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 09:16,瑞幸咖啡,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 10:23,杭州地铁,Dr,5.00元（优惠后）,Bank Card,人事
1 Aug 2026 11:30,滴滴出行,Dr,12.34元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 12:37,永辉超市,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 13:44,万达影城,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 14:51,海底捞西湖店,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 15:58,盒马鲜生,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 16:05,基本工资,Cr,12000.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 17:12,杭州地铁,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 18:19,滴滴出行,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 19:26,永辉超市,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 20:33,万达影城,Dr,5.00元（优惠后）,WeChat Pay,人事
11 Aug 2026 07:40,海底捞西湖店,Dr,12.34元（优惠后）,Alipay,餐饮
12 Aug 2026 08:47,盒马鲜生,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 09:54,瑞幸咖啡,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 10:01,杭州地铁,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 11:08,滴滴出行,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 12:15,永辉超市,Dr,286.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 13:22,万达影城,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 14:29,海底捞西湖店,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 15:36,盒马鲜生,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 16:43,瑞幸咖啡,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 17:50,杭州地铁,Dr,12.34元（优惠后）,Bank Card,餐饮
22 Aug 2026 18:57,滴滴出行,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 19:04,永辉超市,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 20:11,万达影城,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 07:18,海底捞西湖店,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 08:25,盒马鲜生,Dr,286.00元（优惠后）,Alipay,餐饮
27 Aug 2026 09:32,瑞幸咖啡,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 10:39,杭州地铁,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 11:46,滴滴出行,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 12:53,永辉超市,Dr,5.00元（优惠后）,Bank Card,人事
