过账时点,往来简称,方向码,票面,渠道附注,科室
6 Apr 2026 08:27,外婆家,Dr,29.73元（优惠后）,Cash in hand,请客吃饭
13 Apr 2026 11:38,招商银行,Dr,29.90元（优惠后）,UnionPay Debit,手续费
20 Apr 2026 14:49,壹基金,Dr,30.07元（优惠后）,Misc Wallet,捐赠
27 Apr 2026 17:00,工商银行,Cr,30.24元（到账）,WeChat Pay,利息
4 May 2026 20:11,海底捞西湖店,Dr,30.41元（优惠后）,Alipay,正餐
11 May 2026 10:22,大龙燚,Dr,30.58元（优惠后）,Cash in hand,火锅烧烤
18 May 2026 13:33,麦当劳湖滨,Dr,30.75元（优惠后）,UnionPay Debit,快餐
25 May 2026 16:44,美团外卖,Dr,30.92元（优惠后）,Misc Wallet,外卖
1 Jun 2026 19:55,盒马鲜生,Dr,31.09元（优惠后）,WeChat Pay,家庭买菜
8 Jun 2026 09:06,喜茶湖滨,Dr,31.26元（优惠后）,Alipay,咖啡奶茶
15 Jun 2026 12:17,百果园,Dr,31.43元（优惠后）,Cash in hand,零食水果
22 Jun 2026 15:28,优衣库,Dr,31.60元（优惠后）,UnionPay Debit,服饰鞋帽
29 Jun 2026 18:39,名创优品,Dr,31.77元（优惠后）,Misc Wallet,日用品
6 Jul 2026 08:50,支付宝基金,Cr,31.94元（到账）,WeChat Pay,股票基金
13 Jul 2026 11:01,苏宁易购,Dr,32.11元（优惠后）,Alipay,家用电器
20 Jul 2026 14:12,屈臣氏,Dr,32.28元（优惠后）,Cash in hand,美妆护理
27 Jul 2026 17:23,建设银行房贷,Dr,32.45元（优惠后）,UnionPay Debit,房租房贷
3 Aug 2026 20:34,国网浙江电力,Dr,32.62元（优惠后）,Misc Wallet,电费
10 Aug 2026 10:45,杭州水务,Dr,32.79元（优惠后）,WeChat Pay,水费
17 Aug 2026 13:56,杭州燃气,Dr,32.96元（优惠后）,Alipay,燃气费
24 Aug 2026 16:07,绿城物业,Dr,33.13元（优惠后）,Cash in hand,物业费
31 Aug 2026 19:18,居然之家,Dr,33.30元（优惠后）,UnionPay Debit,维修装修
8 Jan 2026 09:29,杭州地铁,Dr,33.47元（优惠后）,Misc Wallet,公共交通
15 Jan 2026 12:40,湖滨租客,Cr,33.64元（到账）,WeChat Pay,房租收入
22 Jan 2026 15:51,中石化,Dr,33.81元（优惠后）,Alipay,加油
29 Jan 2026 18:02,城西银泰停车,Dr,33.98元（优惠后）,Cash in hand,停车过路费
5 Feb 2026 08:13,杭州第二中学,Dr,34.15元（优惠后）,UnionPay Debit,学费
12 Feb 2026 11:24,晓风书屋,Dr,34.32元（优惠后）,Misc Wallet,书籍资料
19 Feb 2026 14:35,新东方,Dr,34.49元（优惠后）,WeChat Pay,培训班
26 Feb 2026 17:46,浙一医院,Dr,34.66元（优惠后）,Alipay,门诊药品
5 Mar 2026 20:57,邵逸夫医院,Dr,34.83元（优惠后）,Cash in hand,住院
12 Mar 2026 10:08,爱康国宾,Dr,35.00元（优惠后）,UnionPay Debit,体检保险
19 Mar 2026 13:19,携程旅行,Dr,35.17元（优惠后）,Misc Wallet,旅游度假
26 Mar 2026 16:30,舅舅随礼,Cr,35.34元（到账）,WeChat Pay,红包礼金
2 Apr 2026 19:41,横店影视,Dr,35.51元（优惠后）,Alipay,电影
9 Apr 2026 09:52,腾讯充值,Dr,35.68元（优惠后）,Cash in hand,游戏充值
16 Apr 2026 12:03,钱柜KTV,Dr,35.85元（优惠后）,UnionPay Debit,KTV
23 Apr 2026 15:14,爱奇艺,Dr,36.02元（优惠后）,Misc Wallet,流媒体会员
30 Apr 2026 18:25,表哥婚礼,Dr,36.19元（优惠后）,WeChat Pay,礼金红包
7 May 2026 08:36,花礼网,Dr,36.36元（优惠后）,Alipay,送礼
14 May 2026 11:47,外婆家,Dr,36.53元（优惠后）,Cash in hand,请客吃饭
21 May 2026 14:58,招商银行,Dr,36.70元（优惠后）,UnionPay Debit,手续费
28 May 2026 17:09,壹基金,Dr,36.87元（优惠后）,Misc Wallet,捐赠
4 Jun 2026 20:20,公司财务,Cr,37.04元（到账）,WeChat Pay,报销
11 Jun 2026 10:31,海底捞西湖店,Dr,37.21元（优惠后）,Alipay,正餐
18 Jun 2026 13:42,大龙燚,Dr,37.38元（优惠后）,Cash in hand,火锅烧烤
25 Jun 2026 16:53,麦当劳湖滨,Dr,37.55元（优惠后）,UnionPay Debit,快餐
2 Jul 2026 19:04,美团外卖,Dr,37.72元（优惠后）,Misc Wallet,外卖
9 Jul 2026 09:15,盒马鲜生,Dr,37.89元（优惠后）,WeChat Pay,家庭买菜
16 Jul 2026 12:26,喜茶湖滨,Dr,38.06元（优惠后）,Alipay,咖啡奶茶
23 Jul 2026 15:37,百果园,Dr,38.23元（优惠后）,Cash in hand,零食水果
30 Jul 2026 18:48,优衣库,Dr,38.40元（优惠后）,UnionPay Debit,服饰鞋帽
6 Aug 2026 08:59,名创优品,Dr,38.57元（优惠后）,Misc Wallet,日用品
13 Aug 2026 11:10,周末家教,Cr,38.74元（到账）,WeChat Pay,兼职
20 Aug 2026 14:21,苏宁易购,Dr,38.91元（优惠后）,Alipay,家用电器
27 Aug 2026 17:32,屈臣氏,Dr,39.08元（优惠后）,Cash in hand,美妆护理
4 Jan 2026 20:43,建设银行房贷,Dr,39.25元（优惠后）,UnionPay Debit,房租房贷
11 Jan 2026 10:54,国网浙江电力,Dr,39.42元（优惠后）,Misc Wallet,电费
18 Jan 2026 13:05,杭州水务,Dr,39.59元（优惠后）,WeChat Pay,水费
25 Jan 2026 16:16,杭州燃气,Dr,39.76元（优惠后）,Alipay,燃气费
1 Feb 2026 19:27,绿城物业,Dr,39.93元（优惠后）,Cash in hand,物业费
8 Feb 2026 09:38,居然之家,Dr,40.10元（优惠后）,UnionPay Debit,维修装修
15 Feb 2026 12:49,杭州地铁,Dr,40.27元（优惠后）,Misc Wallet,公共交通
22 Feb 2026 15:00,公司财务,Cr,40.44元（到账）,WeChat Pay,基本工资
1 Mar 2026 18:11,中石化,Dr,40.61元（优惠后）,Alipay,加油
8 Mar 2026 08:22,城西银泰停车,Dr,40.78元（优惠后）,Cash in hand,停车过路费
15 Mar 2026 11:33,杭州第二中学,Dr,40.95元（优惠后）,UnionPay Debit,学费
22 Mar 2026 14:44,晓风书屋,Dr,41.12元（优惠后）,Misc Wallet,书籍资料
29 Mar 2026 17:55,新东方,Dr,41.29元（优惠后）,WeChat Pay,培训班
5 Apr 2026 20:06,浙一医院,Dr,41.46元（优惠后）,Alipay,门诊药品
12 Apr 2026 10:17,邵逸夫医院,Dr,41.63元（优惠后）,Cash in hand,住院
19 Apr 2026 13:28,爱康国宾,Dr,41.80元（优惠后）,UnionPay Debit,体检保险
26 Apr 2026 16:39,携程旅行,Dr,41.97元（优惠后）,Misc Wallet,旅游度假
3 May 2026 19:50,公司财务,Cr,42.14元（到账）,WeChat Pay,奖金
10 May 2026 09:01,横店影视,Dr,42.31元（优惠后）,Alipay,电影
17 May 2026 12:12,腾讯充值,Dr,42.48元（优惠后）,Cash in hand,游戏充值
24 May 2026 15:23,钱柜KTV,Dr,42.65元（优惠后）,UnionPay Debit,KTV
31 May 2026 18:34,爱奇艺,Dr,42.82元（优惠后）,Misc Wallet,流媒体会员
7 Jun 2026 08:45,表哥婚礼,Dr,42.99元（优惠后）,WeChat Pay,礼金红包
14 Jun 2026 11:56,花礼网,Dr,43.16元（优惠后）,Alipay,送礼
21 Jun 2026 14:07,外婆家,Dr,43.33元（优惠后）,Cash in hand,请客吃饭
28 Jun 2026 17:18,招商银行,Dr,43.50元（优惠后）,UnionPay Debit,手续费
5 Jul 2026 20:29,壹基金,Dr,43.67元（优惠后）,Misc Wallet,捐赠
12 Jul 2026 10:40,公司财务,Cr,43.84元（到账）,WeChat Pay,加班费
19 Jul 2026 13:51,海底捞西湖店,Dr,44.01元（优惠后）,Alipay,正餐
26 Jul 2026 16:02,大龙燚,Dr,44.18元（优惠后）,Cash in hand,火锅烧烤
2 Aug 2026 19:13,麦当劳湖滨,Dr,44.35元（优惠后）,UnionPay Debit,快餐
9 Aug 2026 09:24,美团外卖,Dr,44.52元（优惠后）,Misc Wallet,外卖
16 Aug 2026 12:35,盒马鲜生,Dr,44.69元（优惠后）,WeChat Pay,家庭买菜
23 Aug 2026 15:46,喜茶湖滨,Dr,44.86元（优惠后）,Alipay,咖啡奶茶
30 Aug 2026 18:57,百果园,Dr,45.03元（优惠后）,Cash in hand,零食水果
7 Jan 2026 08:08,优衣库,Dr,45.20元（优惠后）,UnionPay Debit,服饰鞋帽
14 Jan 2026 11:19,名创优品,Dr,45.37元（优惠后）,Misc Wallet,日用品
21 Jan 2026 14:30,工商银行,Cr,45.54元（到账）,WeChat Pay,利息
28 Jan 2026 17:41,苏宁易购,Dr,45.71元（优惠后）,Alipay,家用电器
4 Feb 2026 20:52,屈臣氏,Dr,45.88元（优惠后）,Cash in hand,美妆护理
11 Feb 2026 10:03,建设银行房贷,Dr,46.05元（优惠后）,UnionPay Debit,房租房贷
18 Feb 2026 13:14,国网浙江电力,Dr,46.22元（优惠后）,Misc Wallet,电费
25 Feb 2026 16:25,杭州水务,Dr,46.39元（优惠后）,WeChat Pay,水费
4 Mar 2026 19:36,杭州燃气,Dr,46.56元（优惠后）,Alipay,燃气费
11 Mar 2026 09:47,绿城物业,Dr,46.73元（优惠后）,Cash in hand,物业费
18 Mar 2026 12:58,居然之家,Dr,46.90元（优惠后）,UnionPay Debit,维修装修
25 Mar 2026 15:09,杭州地铁,Dr,47.07元（优惠后）,Misc Wallet,公共交通
1 Apr 2026 18:20,支付宝基金,Cr,47.24元（到账）,WeChat Pay,股票基金
8 Apr 2026 08:31,中石化,Dr,47.41元（优惠后）,Alipay,加油
15 Apr 2026 11:42,城西银泰停车,Dr,47.58元（优惠后）,Cash in hand,停车过路费
22 Apr 2026 14:53,杭州第二中学,Dr,47.75元（优惠后）,UnionPay Debit,学费
29 Apr 2026 17:04,晓风书屋,Dr,47.92元（优惠后）,Misc Wallet,书籍资料
6 May 2026 20:15,新东方,Dr,48.09元（优惠后）,WeChat Pay,培训班
13 May 2026 10:26,浙一医院,Dr,48.26元（优惠后）,Alipay,门诊药品
20 May 2026 13:37,邵逸夫医院,Dr,48.43元（优惠后）,Cash in hand,住院
27 May 2026 16:48,爱康国宾,Dr,48.60元（优惠后）,UnionPay Debit,体检保险
3 Jun 2026 19:59,携程旅行,Dr,48.77元（优惠后）,Misc Wallet,旅游度假
10 Jun 2026 09:10,湖滨租客,Cr,48.94元（到账）,WeChat Pay,房租收入
17 Jun 2026 12:21,横店影视,Dr,49.11元（优惠后）,Alipay,电影
24 Jun 2026 15:32,腾讯充值,Dr,49.28元（优惠后）,Cash in hand,游戏充值
1 Jul 2026 18:43,钱柜KTV,Dr,49.45元（优惠后）,UnionPay Debit,KTV
8 Jul 2026 08:54,爱奇艺,Dr,49.62元（优惠后）,Misc Wallet,流媒体会员
15 Jul 2026 11:05,表哥婚礼,Dr,49.79元（优惠后）,WeChat Pay,礼金红包
22 Jul 2026 14:16,花礼网,Dr,49.96元（优惠后）,Alipay,送礼
29 Jul 2026 17:27,外婆家,Dr,50.13元（优惠后）,Cash in hand,请客吃饭
5 Aug 2026 20:38,招商银行,Dr,50.30元（优惠后）,UnionPay Debit,手续费
12 Aug 2026 10:49,壹基金,Dr,50.47元（优惠后）,Misc Wallet,捐赠
19 Aug 2026 13:00,舅舅随礼,Cr,50.64元（到账）,WeChat Pay,红包礼金
26 Aug 2026 16:11,海底捞西湖店,Dr,50.81元（优惠后）,Alipay,正餐
3 Jan 2026 19:22,大龙燚,Dr,50.98元（优惠后）,Cash in hand,火锅烧烤
10 Jan 2026 09:33,麦当劳湖滨,Dr,51.15元（优惠后）,UnionPay Debit,快餐
17 Jan 2026 12:44,美团外卖,Dr,51.32元（优惠后）,Misc Wallet,外卖
24 Jan 2026 15:55,盒马鲜生,Dr,51.49元（优惠后）,WeChat Pay,家庭买菜
31 Jan 2026 18:06,喜茶湖滨,Dr,51.66元（优惠后）,Alipay,咖啡奶茶
7 Feb 2026 08:17,百果园,Dr,51.83元（优惠后）,Cash in hand,零食水果
14 Feb 2026 11:28,优衣库,Dr,52.00元（优惠后）,UnionPay Debit,服饰鞋帽
21 Feb 2026 14:39,名创优品,Dr,52.17元（优惠后）,Misc Wallet,日用品
28 Feb 2026 17:50,公司财务,Cr,52.34元（到账）,WeChat Pay,报销
7 Mar 2026 20:01,苏宁易购,Dr,52.51元（优惠后）,Alipay,家用电器
14 Mar 2026 10:12,屈臣氏,Dr,52.68元（优惠后）,Cash in hand,美妆护理
21 Mar 2026 13:23,建设银行房贷,Dr,52.85元（优惠后）,UnionPay Debit,房租房贷
28 Mar 2026 16:34,国网浙江电力,Dr,53.02元（优惠后）,Misc Wallet,电费
4 Apr 2026 19:45,杭州水务,Dr,53.19元（优惠后）,WeChat Pay,水费
11 Apr 2026 09:56,杭州燃气,Dr,53.36元（优惠后）,Alipay,燃气费
18 Apr 2026 12:07,绿城物业,Dr,53.53元（优惠后）,Cash in hand,物业费
25 Apr 2026 15:18,居然之家,Dr,53.70元（优惠后）,UnionPay Debit,维修装修
2 May 2026 18:29,杭州地铁,Dr,53.87元（优惠后）,Misc Wallet,公共交通
9 May 2026 08:40,周末家教,Cr,54.04元（到账）,WeChat Pay,兼职
16 May 2026 11:51,中石化,Dr,54.21元（优惠后）,Alipay,加油
23 May 2026 14:02,城西银泰停车,Dr,54.38元（优惠后）,Cash in hand,停车过路费
30 May 2026 17:13,杭州第二中学,Dr,54.55元（优惠后）,UnionPay Debit,学费
6 Jun 2026 20:24,晓风书屋,Dr,54.72元（优惠后）,Misc Wallet,书籍资料
13 Jun 2026 10:35,新东方,Dr,54.89元（优惠后）,WeChat Pay,培训班
20 Jun 2026 13:46,浙一医院,Dr,55.06元（优惠后）,Alipay,门诊药品
27 Jun 2026 16:57,邵逸夫医院,Dr,55.23元（优惠后）,Cash in hand,住院
4 Jul 2026 19:08,爱康国宾,Dr,55.40元（优惠后）,UnionPay Debit,体检保险
11 Jul 2026 09:19,携程旅行,Dr,55.57元（优惠后）,Misc Wallet,旅游度假
18 Jul 2026 12:30,公司财务,Cr,55.74元（到账）,WeChat Pay,基本工资
25 Jul 2026 15:41,横店影视,Dr,55.91元（优惠后）,Alipay,电影
1 Aug 2026 18:52,腾讯充值,Dr,56.08元（优惠后）,Cash in hand,游戏充值
8 Aug 2026 08:03,钱柜KTV,Dr,56.25元（优惠后）,UnionPay Debit,KTV
15 Aug 2026 11:14,爱奇艺,Dr,56.42元（优惠后）,Misc Wallet,流媒体会员
22 Aug 2026 14:25,表哥婚礼,Dr,56.59元（优惠后）,WeChat Pay,礼金红包
29 Aug 2026 17:36,花礼网,Dr,56.76元（优惠后）,Alipay,送礼
6 Jan 2026 20:47,外婆家,Dr,56.93元（优惠后）,Cash in hand,请客吃饭
13 Jan 2026 10:58,招商银行,Dr,57.10元（优惠后）,UnionPay Debit,手续费
20 Jan 2026 13:09,壹基金,Dr,57.27元（优惠后）,Misc Wallet,捐赠
27 Jan 2026 16:20,公司财务,Cr,57.44元（到账）,WeChat Pay,奖金
3 Feb 2026 19:31,海底捞西湖店,Dr,57.61元（优惠后）,Alipay,正餐
10 Feb 2026 09:42,大龙燚,Dr,57.78元（优惠后）,Cash in hand,火锅烧烤
17 Feb 2026 12:53,麦当劳湖滨,Dr,57.95元（优惠后）,UnionPay Debit,快餐
24 Feb 2026 15:04,美团外卖,Dr,58.12元（优惠后）,Misc Wallet,外卖
3 Mar 2026 18:15,盒马鲜生,Dr,58.29元（优惠后）,WeChat Pay,家庭买菜
10 Mar 2026 08:26,喜茶湖滨,Dr,58.46元（优惠后）,Alipay,咖啡奶茶
17 Mar 2026 11:37,百果园,Dr,58.63元（优惠后）,Cash in hand,零食水果
24 Mar 2026 14:48,优衣库,Dr,58.80元（优惠后）,UnionPay Debit,服饰鞋帽
31 Mar 2026 17:59,名创优品,Dr,58.97元（优惠后）,Misc Wallet,日用品
7 Apr 2026 20:10,公司财务,Cr,59.14元（到账）,WeChat Pay,加班费
14 Apr 2026 10:21,苏宁易购,Dr,59.31元（优惠后）,Alipay,家用电器
21 Apr 2026 13:32,屈臣氏,Dr,59.48元（优惠后）,Cash in hand,美妆护理
28 Apr 2026 16:43,建设银行房贷,Dr,59.65元（优惠后）,UnionPay Debit,房租房贷
5 May 2026 19:54,国网浙江电力,Dr,59.82元（优惠后）,Misc Wallet,电费
12 May 2026 09:05,杭州水务,Dr,59.99元（优惠后）,WeChat Pay,水费
19 May 2026 12:16,杭州燃气,Dr,60.16元（优惠后）,Alipay,燃气费
26 May 2026 15:27,绿城物业,Dr,60.33元（优惠后）,Cash in hand,物业费
2 Jun 2026 18:38,居然之家,Dr,60.50元（优惠后）,UnionPay Debit,维修装修
9 Jun 2026 08:49,杭州地铁,Dr,60.67元（优惠后）,Misc Wallet,公共交通
16 Jun 2026 11:00,工商银行,Cr,60.84元（到账）,WeChat Pay,利息
